ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,375.88,128,14.04,52184460
4096,2048,372.21,128,13.91,80373132
6144,2048,322.55,128,13.80,108561804
8192,2048,363.51,128,13.64,136750476
10240,2048,359.26,128,13.04,164939148
12288,2048,355.81,128,13.47,193127820
14336,2048,352.94,128,13.00,221316492
16384,2048,351.31,128,13.44,249505164
18432,2048,348.46,128,13.38,277693836
20480,2048,345.71,128,13.31,305882508
22528,2048,343.07,128,13.25,334071180
24576,2048,340.17,128,13.17,362259852
26624,2048,337.06,128,13.10,390448524
28672,2048,334.54,128,12.99,418637196
30720,2048,332.00,128,12.88,446825868
32768,2048,329.90,128,12.52,475014540
34816,2048,318.60,128,12.43,503203212
36864,2048,316.28,128,12.37,531391884
38912,2048,313.89,128,12.32,559580556
40960,2048,311.44,128,12.29,587769228
43008,2048,308.91,128,12.23,615957900
45056,2048,307.25,128,12.21,644146572
47104,2048,304.70,128,12.16,672335244
49152,2048,301.77,128,12.13,700523916
51200,2048,296.63,128,12.05,728712588
53248,2048,295.00,128,12.00,756901260
55296,2048,293.23,128,11.94,785089932
57344,2048,291.58,128,11.88,813278604
59392,2048,289.60,128,11.83,841467276
61440,2048,287.72,128,11.73,869655948
63488,2048,285.76,128,11.69,897844620
65536,2048,283.40,128,11.61,926033292
