ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_tps_ss,first_token_sec,kvcache_bytes
2048,2048,450.76,128,16.52,16.55,0.0738,52184476
4096,2048,419.29,128,15.39,15.41,0.0766,80373148
6144,2048,416.10,128,16.06,16.08,0.0703,108561820
8192,2048,409.71,128,15.96,15.98,0.0692,136750492
10240,2048,403.68,128,15.85,15.86,0.0692,164939164
12288,2048,399.89,128,15.75,15.76,0.0699,193127836
14336,2048,396.00,128,15.68,15.69,0.0708,221316508
16384,2048,394.02,128,15.57,15.59,0.0715,249505180
18432,2048,390.42,128,15.46,15.47,0.0702,277693852
20480,2048,386.69,128,15.34,15.36,0.0724,305882524
22528,2048,385.07,128,15.22,15.23,0.0722,334071196
24576,2048,380.68,128,15.10,15.11,0.0733,362259868
26624,2048,375.05,128,14.99,15.01,0.0732,390448540
28672,2048,373.60,128,14.84,14.85,0.0753,418637212
30720,2048,369.80,128,14.74,14.75,0.0741,446825884
32768,2048,367.29,128,14.63,14.64,0.0748,475014556
34816,2048,353.16,128,14.46,14.48,0.0755,503203228
36864,2048,350.96,128,14.40,14.41,0.0754,531391900
38912,2048,346.99,128,14.34,14.35,0.0761,559580572
40960,2048,344.83,128,14.29,14.30,0.0764,587769244
43008,2048,341.51,128,14.25,14.26,0.0766,615957916
45056,2048,338.42,128,14.18,14.19,0.0762,644146588
47104,2048,336.06,128,14.12,14.13,0.0775,672335260
49152,2048,333.40,128,14.08,14.09,0.0772,700523932
51200,2048,327.27,128,13.98,13.99,0.0785,728712604
53248,2048,324.78,128,13.86,13.88,0.0798,756901276
55296,2048,323.53,128,13.81,13.83,0.0794,785089948
57344,2048,321.05,128,13.74,13.75,0.0784,813278620
59392,2048,318.59,128,13.67,13.67,0.0788,841467292
61440,2048,315.75,128,13.53,13.55,0.0809,869655964
63488,2048,313.79,128,13.45,13.46,0.0797,897844636
65536,2048,310.73,128,13.39,13.40,0.0816,926033308
