ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,825.746,128,19.9554,,1,825.746,19.9554,22,22,5206.47,5020.91,5312.3
4096,2048,939.486,128,20.1138,,1,939.486,20.1138,22,22,6790.23,6604.68,6945.45
6144,2048,871.645,128,19.8869,,1,871.645,19.8869,25,25,9741.06,9555.5,9845.61
8192,2048,909.613,128,19.847,,1,909.613,19.847,25,25,11537.6,11352.1,11643.8
10240,2048,882.607,128,19.8312,,1,882.607,19.8312,22,22,14359.5,14173.9,14464.3
12288,2048,885.047,128,19.7393,,1,885.047,19.7393,23,23,16540.6,16355.1,16645.9
14336,2048,869.19,128,19.6344,,1,869.19,19.6344,22,22,19244.7,19059.1,19350.4
16384,2048,865.219,128,19.7118,,1,865.219,19.7118,22,22,21792.8,21607.3,21901.1
18432,2048,852.13,128,19.7074,,1,852.13,19.7074,22,22,24643.1,24457.5,24747.5
20480,2048,854.661,128,19.7593,,1,854.661,19.7593,22,22,26770.4,26584.8,26927.7
22528,2048,832.026,128,19.5773,,1,832.026,19.5773,24,24,30221.9,30036.3,30328.3
24576,2048,839.127,128,19.6776,,1,839.127,19.6776,22,22,32247.5,32061.9,32354.3
26624,2048,827.24,128,19.4874,,1,827.24,19.4874,22,22,35118.6,34933,35225.2
28672,2048,824.699,128,19.511,,1,824.699,19.511,23,23,37922.9,37737.4,38029.2
30720,2048,813.998,128,18.3611,,1,813.998,18.3611,20,20,40990.3,40804.8,41219.1
32768,2048,808.809,128,18.0544,,1,808.809,18.0544,20,20,43859.7,43674.1,44049.7
34816,2048,792.171,128,18.1662,,1,792.171,18.1662,20,20,47807.9,47622.3,47978.8
36864,2048,789.016,128,18.1093,,1,789.016,18.1093,20,20,50667.4,50481.8,50838.1
38912,2048,778.627,128,18.0077,,1,778.627,18.0077,20,20,53601.4,53415.8,53772.9
40960,2048,775.806,128,18.1969,,1,775.806,18.1969,21,21,56536,56350.4,56708.5
43008,2048,765.028,128,17.7618,,1,765.028,17.7618,20,20,60095.8,59910.2,60152.2
45056,2048,759.488,128,17.8907,,1,759.488,17.8907,21,21,63616.5,63430.9,63731.3
47104,2048,753.575,128,17.7256,,1,753.575,17.7256,20,20,66043.6,65858,66160.3
49152,2048,748.627,128,17.6998,,1,748.627,17.6998,21,21,69483,69297.5,69657.4
51200,2048,739.713,128,17.6936,,1,739.713,17.6936,20,20,72930,72744.5,73101.8
53248,2048,736.112,128,17.8926,,1,736.112,17.8926,20,20,76369.6,76184,76543.3
55296,2048,726.446,128,17.7176,,1,726.446,17.7176,20,20,80919.8,80734.2,81095.4
57344,2048,720.989,128,17.4967,,1,720.989,17.4967,20,20,84290.8,84105.3,84351.4
59392,2048,715.345,128,17.8483,,1,715.345,17.8483,20,20,87955.8,87770.2,88130.7
61440,2048,711.448,128,17.6965,,1,711.448,17.6965,21,21,90990.4,90804.9,91108.8
63488,2048,706.54,128,17.5342,,1,706.54,17.5342,21,21,93958.1,93772.5,94075.8
65536,2048,700.68,128,17.5551,,1,700.68,17.5551,20,20,98284.6,98099,98401.2
