ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,620.718,128,21.6216,,1,620.718,21.6216,30,30,6851.54,6669.7,7022.56
4096,2048,928.853,128,19.8151,,1,928.853,19.8151,24,24,6957.94,6776.1,7119.89
6144,2048,859.31,128,24.0571,,1,859.31,24.0571,31,31,9898.94,9717.1,10056.8
8192,2048,800.352,128,19.4578,,1,800.352,19.4578,23,23,13051.2,12869.3,13237.4
10240,2048,804.248,128,26.068,,1,804.248,26.068,33,33,15567.7,15385.8,15725.5
12288,2048,881.301,128,19.4763,,1,881.301,19.4763,22,22,16735.8,16553.9,16956.4
14336,2048,863.862,128,22.6176,,1,863.862,22.6176,30,30,19419.9,19238,19579.8
16384,2048,865.057,128,19.1766,,1,865.057,19.1766,22,22,21798.9,21617.1,22003.2
18432,2048,851.287,128,19.2606,,1,851.287,19.2606,23,23,24671.8,24490,24858.7
20480,2048,849.022,128,19.7389,,1,849.022,19.7389,22,22,27144.6,26962.8,27463.2
22528,2048,835.972,128,19.1334,,1,835.972,19.1334,22,22,30068,29886.2,30232.1
24576,2048,835.9,128,19.9017,,1,835.9,19.9017,26,26,32477.6,32295.7,32636.9
26624,2048,824.74,128,19.1227,,1,824.74,19.1227,22,22,35619.7,35437.8,35781.3
28672,2048,820.729,128,19.413,,1,820.729,19.413,22,22,38302.8,38121,38467
30720,2048,809.846,128,17.9274,,1,809.846,17.9274,21,21,41407,41225.1,41581.6
32768,2048,807.323,128,17.4887,,1,807.323,17.4887,21,21,43788.9,43607.1,43847.1
34816,2048,794.93,128,17.7058,,1,794.93,17.7058,20,20,47140.7,46958.8,47314.7
36864,2048,789.425,128,17.4896,,1,789.425,17.4896,20,20,50327.2,50145.4,50385.6
38912,2048,777.429,128,17.6248,,1,777.429,17.6248,21,21,53752,53570.2,53927.8
40960,2048,772.128,128,17.6439,,1,772.128,17.6439,20,20,57044.2,56862.3,57221.4
43008,2048,765.798,128,17.7744,,1,765.798,17.7744,20,20,59869.9,59688.1,60166.4
45056,2048,760.675,128,17.6257,,1,760.675,17.6257,20,20,62782.8,62601,62959.7
47104,2048,750.893,128,24.5255,,1,750.893,24.5255,30,30,66689.3,66507.5,66867.1
49152,2048,745.957,128,17.4878,,1,745.957,17.4878,21,21,69755.6,69573.7,69936.7
51200,2048,739.001,128,17.4143,,1,739.001,17.4143,20,20,72966.6,72784.7,73143
53248,2048,733.87,128,17.412,,1,733.87,17.412,20,20,76735,76553.1,76913
55296,2048,725.7,128,17.6503,,1,725.7,17.6503,24,24,80516.7,80334.8,80697.6
57344,2048,723.959,128,17.4339,,1,723.959,17.4339,20,20,83102.3,82920.4,83280.6
59392,2048,714.517,128,17.3742,,1,714.517,17.3742,20,20,87645.1,87463.3,87823.8
61440,2048,711.023,128,17.4146,,1,711.023,17.4146,21,21,90821.7,90639.8,91042.5
63488,2048,704.774,128,17.2331,,1,704.774,17.2331,20,20,94847.6,94665.8,95025.3
65536,2048,701.416,128,17.4784,,1,701.416,17.4784,23,23,97562,97380.2,97738.1
