ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,789.184,128,20.646,,1,789.184,20.646,35,35,5380.28,5190.17,5598.89
6144,2048,928.064,128,25.1744,,1,928.064,25.1744,39,39,9017.09,8826.98,9178.47
10240,2048,877.71,128,20.9637,,1,877.71,20.9637,27,27,14190.2,14000.1,14351.1
14336,2048,815.962,128,19.9956,,1,815.962,19.9956,28,28,20269.5,20079.4,20542.7
18432,2048,852.103,128,18.996,,1,852.103,18.996,22,22,24224.8,24034.7,24414.4
22528,2048,811.877,128,18.68,,1,811.877,18.68,28,28,30460.7,30270.6,30653.7
26624,2048,821.496,128,19.0699,,1,821.496,19.0699,22,22,35092.3,34902.2,35277.6
30720,2048,807.985,128,24.8346,,1,807.985,24.8346,33,33,40745.3,40555.2,40934.7
34816,2048,787.149,128,18.817,,1,787.149,18.817,31,31,47022.4,46832.3,47202.3
38912,2048,766.326,128,25.0221,,1,766.326,25.0221,34,34,53640,53449.8,53814.2
43008,2048,758.002,128,17.6217,,1,758.002,17.6217,22,22,59630.6,59440.5,59821.2
47104,2048,746.457,128,22.6521,,1,746.457,22.6521,32,32,66035.8,65845.7,66212
51200,2048,730.235,128,21.7285,,1,730.235,21.7285,28,28,73109.1,72919,73285.5
55296,2048,719.247,128,17.3766,,1,719.247,17.3766,22,22,79917.9,79727.8,80095.7
59392,2048,708.191,128,20.7187,,1,708.191,20.7187,33,33,86946.3,86756.2,87122.2
63488,2048,697.068,128,19.2642,,1,697.068,19.2642,29,29,94206.8,94016.7,94443.6
