ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,604.949,128,24.2751,,1,604.949,24.2751,35,35,7067.15,6868.34,7265.59
4096,2048,921.006,128,21.4734,,1,921.006,21.4734,27,27,7022.87,6824.06,7180.31
6144,2048,852.043,128,20.3383,,1,852.043,20.3383,30,30,9978.83,9780.02,10164.8
8192,2048,892.107,128,19.2467,,1,892.107,19.2467,23,23,11849.9,11651.1,12007.9
10240,2048,842.246,128,21.9757,,1,842.246,21.9757,29,29,15016.3,14817.5,15174.9
12288,2048,868.573,128,18.8111,,1,868.573,18.8111,22,22,17001.1,16802.3,17054.1
14336,2048,794.705,128,19.081,,1,794.705,19.081,22,22,21404.2,21205.4,21566.2
16384,2048,853.325,128,19.2865,,1,853.325,19.2865,22,22,22238.5,22039.7,22398.3
18432,2048,838.219,128,18.9007,,1,838.219,18.9007,22,22,25150.5,24951.7,25203.5
20480,2048,839.325,128,23.782,,1,839.325,23.782,35,35,27393.3,27194.5,27553.8
22528,2048,828.1,128,25.6418,,1,828.1,25.6418,35,35,30279.7,30080.9,30440.6
24576,2048,823.811,128,19.0157,,1,823.811,19.0157,23,23,33352.1,33153.2,33509.7
26624,2048,813.935,128,25.4743,,1,813.935,25.4743,33,33,35890.8,35692,36056
28672,2048,811.23,128,22.8937,,1,811.23,22.8937,30,30,38625.7,38426.8,38787.5
30720,2048,799.617,128,17.9446,,1,799.617,17.9446,21,21,41771.2,41572.4,42103
32768,2048,791.141,128,19.9683,,1,791.141,19.9683,26,26,44657.4,44458.6,44835.8
34816,2048,785.302,128,17.6196,,1,785.302,17.6196,22,22,47800.9,47602.1,47978.3
36864,2048,780.69,128,17.1991,,1,780.69,17.1991,20,20,50682.4,50483.6,50741.6
38912,2048,770.198,128,17.4647,,1,770.198,17.4647,20,20,53981.1,53782.3,54160.2
40960,2048,765.409,128,17.243,,1,765.409,17.243,20,20,57207.5,57008.7,57268.2
43008,2048,755.567,128,17.463,,1,755.567,17.463,20,20,60451.6,60252.8,60629.2
45056,2048,736.796,128,17.5311,,1,736.796,17.5311,20,20,64811,64612.2,64990.1
47104,2048,741.339,128,17.1424,,1,741.339,17.1424,20,20,67652.5,67453.7,67710.4
49152,2048,738.292,128,17.1038,,1,738.292,17.1038,21,21,70149.4,69950.6,70327.7
51200,2048,729.899,128,17.1018,,1,729.899,17.1018,22,22,74017.2,73818.4,74192
53248,2048,724.612,128,17.2923,,1,724.612,17.2923,20,20,77694.1,77495.3,77868.6
55296,2048,718.153,128,17.1325,,1,718.153,17.1325,21,21,80896.1,80697.3,81075.2
57344,2048,712.286,128,17.4968,,1,712.286,17.4968,20,20,84927.4,84728.5,85231.7
59392,2048,706.049,128,17.2649,,1,706.049,17.2649,20,20,88767.8,88569,88939.2
61440,2048,702.025,128,17.5847,,1,702.025,17.5847,20,20,92035.9,91837.1,92317.5
63488,2048,697.372,128,35.2834,,1,697.372,35.2834,37,37,95456.4,95257.6,95761
65536,2048,692.095,128,16.9392,,1,692.095,16.9392,21,21,99475.7,99276.9,99534.7
