ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,405.988,128,14.7665,,1,405.988,14.7665,15,15,10276.5,10098.8,10484.4
4096,2048,395.008,128,14.5965,,1,395.008,14.5965,15,15,16005.2,15827.5,16145.2
6144,2048,389.631,128,14.5126,,1,389.631,14.5126,15,15,21639,21461.4,21853.6
8192,2048,387.711,128,14.466,,1,387.711,14.466,15,15,27043,26865.3,27258.2
10240,2048,383.881,128,14.5339,,1,383.881,14.5339,15,15,32653.9,32476.2,32941.6
12288,2048,374.682,128,14.3672,,1,374.682,14.3672,15,15,38906.6,38728.9,39123.7
14336,2048,380.133,128,14.4303,,1,380.133,14.4303,15,15,43878.2,43700.5,44092.2
16384,2048,377.759,128,14.3847,,1,377.759,14.3847,15,15,50336.6,50158.9,50552.4
18432,2048,376.091,128,14.2493,,1,376.091,14.2493,15,15,55526,55348.3,55671.7
20480,2048,374.18,128,14.3195,,1,374.18,14.3195,15,15,61132.3,60954.6,61350.1
22528,2048,372.284,128,14.3986,,1,372.284,14.3986,15,15,67126.6,66948.9,67417.2
24576,2048,366.392,128,14.2572,,1,366.392,14.2572,15,15,73784.5,73606.9,74004.1
26624,2048,368.012,128,14.2127,,1,368.012,14.2127,15,15,79245.8,79068.1,79465.2
28672,2048,363.784,128,14.0672,,1,363.784,14.0672,15,15,85750.5,85572.8,85897.3
30720,2048,365.09,128,13.6843,,1,365.09,13.6843,14,14,90996.4,90818.7,91148.8
32768,2048,359.794,128,13.641,,1,359.794,13.641,14,14,98161.4,97983.7,98314
34816,2048,359.966,128,13.6111,,1,359.966,13.6111,14,14,104563,104385,104715
36864,2048,355.376,128,13.6867,,1,355.376,13.6867,14,14,111561,111384,111791
38912,2048,356.278,128,13.6566,,1,356.278,13.6566,14,14,116755,116577,116983
40960,2048,352.337,128,13.6249,,1,352.337,13.6249,14,14,123543,123365,123773
43008,2048,352.522,128,13.4863,,1,352.522,13.4863,14,14,129880,129703,130035
45056,2048,348.581,128,13.5555,,1,348.581,13.5555,14,14,137222,137044,137453
47104,2048,349.101,128,14.4653,,1,349.101,14.4653,15.6707,15.6707,142411,142234,142566
49152,2048,345.067,128,13.9464,,1,345.067,13.9464,14,14,150531,150353,150764
51200,2048,345.263,128,13.4706,,1,345.263,13.4706,14,14,156215,156037,156448
53248,2048,341.922,128,13.4387,,1,341.922,13.4387,14,14,163753,163575,163985
55296,2048,341.864,128,13.3991,,1,341.864,13.3991,14,14,169956,169778,170188
57344,2048,338.607,128,13.257,,1,338.607,13.257,14,14,177820,177643,177976
59392,2048,338.641,128,13.223,,1,338.641,13.223,14,14,184240,184062,184397
61440,2048,335.924,128,13.3108,,1,335.924,13.3108,14,14,191028,190850,191263
63488,2048,335.574,128,13.2752,,1,335.574,13.2752,14,14,197729,197551,197963
65536,2048,332.049,128,13.142,,1,332.049,13.142,14,14,207021,206843,207181
